"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_1A_007666",8427.37474184814,-7.12291216764398,0.156337485395368,-45.5611278998798,0,0
"Et_1B_012646",5738.90997110807,-6.32176796242486,0.154531590976206,-40.9092271844808,0,0
"Et_4A_034104",7402.04397035551,-7.73541166682919,0.157814408305048,-49.0158772567649,0,0
"Et_4B_037456",5606.72758860666,-7.63058261350541,0.171768661902898,-44.4236016568553,0,0
"Et_2B_022256",56835.1514966759,7.6594799416457,0.199447422575879,38.4035042555221,1.18575755001899e-322,1.00362519033607e-318
"Et_3B_028368",23964.1610886021,7.98370991133559,0.214188721664185,37.2741844169219,4.3001310592229e-304,3.03302577377188e-300
"Et_3A_023255",22054.0000582624,8.07925718769209,0.217974206746018,37.0651982558009,1.02211154009501e-300,6.17939433954585e-297
"Et_4A_033088",39570.2563718895,8.01705099189214,0.216446118041668,37.0394769119803,2.65275764880045e-300,1.40330879621544e-296
"Et_4B_039463",42383.8446959609,8.12850194497084,0.219732494288766,36.9927168545614,1.49952867572534e-299,7.05111706185514e-296
"Et_4B_036051",44228.3923219758,7.91548330817668,0.217563337600087,36.3824318724439,8.07175616076115e-290,3.41596720723412e-286
"Et_3B_027767",27518.5433015344,7.95197993747642,0.224569510754318,35.4098822710443,1.20304519915994e-274,4.62844298440442e-271
"Et_5A_041542",11021.0289291034,8.03761588716653,0.227374800668703,35.3496335720938,1.01567712062373e-273,3.5819546453997e-270
"Et_10A_000633",5940.96544509959,7.87835374468576,0.226266874963727,34.8188560342681,1.26100408278516e-265,4.10505329103599e-262
"Et_2B_022038",22526.5441148778,8.00150271332554,0.233338838749461,34.2913453937125,1.05617244836864e-257,3.19265842964006e-254
"Et_8A_057752",26346.9602513645,8.06975616597897,0.23625133278634,34.1575053600949,1.0345675843301e-255,2.91886001125666e-252
"Et_8B_059454",17376.9207190646,8.04274238141389,0.23573131109697,34.1182609301546,3.95449509844288e-255,1.04596395353814e-251
"Et_9A_060968",10828.3712409515,7.57484574748382,0.222364337436397,34.0650206539997,2.43239219264127e-254,6.05522574073993e-251
"Et_4B_036481",8889.76497962949,8.01073233603128,0.235175785172469,34.0627430249952,2.62879837071217e-254,6.18059705825217e-251
"Et_5B_044772",22370.2223384883,8.1324101811638,0.239569839376378,33.945884850669,1.40279876988549e-252,3.12454968113442e-249
"Et_1A_007758",5287.24845508854,7.71358586995625,0.228134190363473,33.8116170034252,1.3312022049697e-250,2.81682386571589e-247
"Et_8B_060120",26386.0582099262,8.15928937624517,0.241832925764901,33.7393651027374,1.53108437751886e-249,3.08549956459992e-246
"Et_2A_018854",24024.3630250268,8.04072056420921,0.238982974682254,33.645579041352,3.61848018334474e-248,6.96064006177951e-245
"Et_5B_043323",2221.72991091019,-7.68588504757669,0.229266103935805,-33.5238612059668,2.16487182619658e-246,3.98336416020171e-243
"Et_3A_026764",25252.3710935329,8.03660545861966,0.241041711025649,33.3411401056828,9.79106198385032e-244,1.72649059648561e-240
"Et_1A_004856",1562.15697656866,-7.21203924377859,0.216628674397836,-33.2921727182513,5.01173206725723e-243,8.48386004345304e-240
"Et_10B_002750",17834.4081390866,7.58516608431086,0.231375363449362,32.7829461669151,1.03054629414735e-235,1.67741227570446e-232
"Et_7B_053707",8473.50310290536,7.95407520215488,0.243984632155873,32.6007221515218,4.00570571348817e-233,6.27857280721553e-230
"Et_2B_018929",8987.76490431436,7.775290080583,0.239596089215775,32.45165689487,5.13278651147998e-231,7.75784018449403e-228
"Et_5B_044511",2321.02763594263,-7.54993384942468,0.232693580109571,-32.4458192867614,6.20435379306028e-231,9.05407767318314e-228
"Et_4A_034858",3126.50575151375,7.54660669091508,0.233270520424693,32.3513090174262,1.3297483202841e-229,1.87583163048077e-226
